Pit no.,Total Sherds,Total Weight
,,grams
Pit 1,0,0
Pit 2,0,0
Pit 3,0,0
Pit 4,0,0
Pit 5,0,0
Pit 6,0,0
Pit 7,0,0
Pit 8,0,0
Pit 9,0,0
Pit 10,5,95
Pit 11,0,0
Pit 12,0,0
Pit 13,0,0
Pit 14,0,0
Pit 15,1,12
Pit 16,2,47
Pit 17,0,0
Pit 18,0,0
Pit 19,29,303
Pit 20,10,110
Pit 20ext,92,1061
Pit 21,33,363
Pit 22,72,647
Pit 23,91,510
Pit 24,165,851
Pit 25,252,1298.5
Pit 26,121,687
Pit 27,30,220
Pit 28,14,159
Pit 29,78,320
Pit 30,0,0
Pit 31,0,0
Pit 32,0,0
Pit 33,0,0
Pit 34,0,0
Pit 35,0,0
Pit 36,0,0
Pit 37,0,0
Pit 38,0,0
Pit 39,0,0
Pit 40,0,0
Pit 41,0,0
Pit 42,0,0
Pit 43,0,0
Pit 44,0,0
Pit 45,0,0
Pit 46,0,0
Pit 47,0,0
Pit 48,0,0
Pit 49,0,0
Pit 50,0,0
Pit 51,0,0
Pit 52,0,0
Pit 53,0,0
Pit 54,0,0
Pit 55,0,0
Pit 56,0,0
Pit 57,0,0
Pit 58,0,0
Pit 59,0,0
Pit 60,0,0
